MODEL,CreatedDate
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),13/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),13/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,13/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,13/08/2023
TUCSON 1.6 TURBO HYBRID (S/R),17/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,19/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,19/08/2023
IONIQ 6 ELECTRIC AWD,21/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),21/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),22/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,22/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),22/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),23/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),23/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),23/08/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,26/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,26/08/2023
STARIA 3.5 AUTO (S/R),26/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),27/08/2023
IONIQ 6 ELECTRIC AWD,27/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,27/08/2023
SANTA FE 1.6 TURBO HYBRID (S/R),27/08/2023
KONA 1.6 DCT HYBRID ELITE (S/R),27/08/2023
IONIQ 6 ELECTRIC AWD,27/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,28/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,29/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,30/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,31/08/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,01/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,02/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD 77KWH,02/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,03/09/2023
GENESIS GV80 2.5 TURBO AUTO,04/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,04/09/2023
TUCSON 1.6 TURBO HYBRID (S/R),04/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/09/2023
SANTA FE 1.6 TURBO HYBRID (S/R),05/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),05/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,05/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
KONA 1.6 DCT GL HYBRID,07/09/2023
TUCSON 1.6 TURBO HYBRID (S/R),08/09/2023
PALISADE 3.5 GLS AUTO (S/R) 7-SEATER,09/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),09/09/2023
IONIQ 5 ELECTRIC EXCLUSIVE 2WD,09/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),10/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,10/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,11/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,12/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),14/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,14/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,15/09/2023
TUCSON 1.6 TURBO HYBRID (S/R),15/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/09/2023
KONA 1.6 DCT GL HYBRID,16/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),16/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,17/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,18/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),18/09/2023
KONA 1.6 DCT GL HYBRID,22/09/2023
TUCSON 1.6 TURBO HYBRID (S/R),23/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/09/2023
KONA 1.6 DCT GL HYBRID,24/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,24/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/09/2023
KONA 1.6 DCT GL HYBRID,24/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),24/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),25/09/2023
KONA 1.6 DCT HYBRID ELITE (S/R),25/09/2023
IONIQ 5 ELECTRIC PRESTIGE 2WD,27/09/2023
